CaO,Al2O3,SiO2,molar_volume,density,youngs_modulus,shear_modulus,bulk_modulus,poisson_ratio,fracture_toughess
25.73,24.62,49.65,25.78475353903346,2.69,,,,,
36.13,14.19,49.68,23.26247572766571,2.7760000000000002,,,,,
20.28,30.03,49.69,26.628923914010375,2.698,,,,,
24.86,25.38,49.76,25.839176293550768,2.698,,,,,
24.85,25.29,49.86,27.0,2.7,,,,,
44.38,5.66,49.96,21.18507476256983,2.864,,,,,
30.0,20.0,50.0,24.65,2.728406490872211,,,,,
25.0,25.0,50.0,25.816388270230142,2.694,,,,,
46.79,3.21,50.0,20.63462628551628,2.886,,,,,
45.68,4.32,50.0,20.897991760612378,2.8739999999999997,,,,,
43.41,6.59,50.0,21.439425733333326,2.85,,,,,
42.25,7.75,50.0,21.717618569415077,2.838,,,,,
39.86,10.14,50.0,22.27670299715909,2.8160000000000003,,,,,
34.0,16.0,50.0,23.68570456191166,2.762,,,,,
32.11,17.89,50.0,24.13951097596503,2.7460000000000004,,,,,
16.67,33.33,50.0,27.194725937731647,2.698,,,,,
14.0,36.0,50.0,27.65904189840563,2.697,,,,,
45.68,4.32,50.0,20.9,2.8739999999999997,,,,,
44.56,5.44,50.0,21.15,2.864,,,,,
43.41,6.59,50.0,21.44,2.85,,,,,
42.25,7.75,50.0,21.72,2.838,,,,,
39.86,10.14,50.0,22.28,2.8160000000000003,,,,,
36.0,14.0,50.0,23.22,2.7760000000000002,,,,,
34.0,16.0,50.0,23.69,2.762,,,,,
32.11,17.89,50.0,24.14,2.7460000000000004,,,,,
25.0,25.0,50.0,25.78,2.698,,,,,
20.0,30.0,50.0,26.55,2.698,,,,,
14.0,36.0,50.0,27.66,2.697,,,,,
25.0,25.0,50.0,25.75901851851852,2.7,,,,,
30.0,20.0,50.0,24.90934074074074,2.7,,,,,
25.0,25.0,50.0,27.274254901960788,2.55,,,,,
35.0,15.0,50.0,23.45165703971119,2.77,,,,,
40.0,10.0,50.0,22.30140925266904,2.81,,,,,
28.57,21.43,50.0,25.434959243445693,2.67,,,,,
33.33,16.67,50.0,24.16445934558823,2.72,,,,,
40.0,10.0,50.0,22.38105714285714,2.8,,,,,
25.0,25.0,50.0,25.720913461538462,2.7039999999999997,,,,,
38.0,12.0,50.0,22.70879,2.8,,,,,
25.0,25.0,50.0,25.85477695167286,2.69,,,,,
25.0,25.0,50.0,26.175893865261568,2.657,,,,,
25.0,25.0,50.0,26.14637218045113,2.66,,,,,
